Series ID,Year,Period,Label,Value
LAUCT064400000000005,2020,M01,2020 Jan,2057801
LAUCT064400000000005,2020,M02,2020 Feb,2069580
LAUCT064400000000005,2020,M03,2020 Mar,1924807
LAUCT064400000000005,2020,M04,2020 Apr,1628634
LAUCT064400000000005,2020,M05,2020 May,1558545
LAUCT064400000000005,2020,M06,2020 Jun,1660893
LAUCT064400000000005,2020,M07,2020 Jul,1686970
LAUCT064400000000005,2020,M08,2020 Aug,1717557
LAUCT064400000000005,2020,M09,2020 Sep,1756997
LAUCT064400000000005,2020,M10,2020 Oct,1792372
LAUCT064400000000005,2020,M11,2020 Nov,1805717
LAUCT064400000000005,2020,M12,2020 Dec,1787703
LAUCT064400000000005,2021,M01,2021 Jan,1790583
LAUCT064400000000005,2021,M02,2021 Feb,1830249
LAUCT064400000000005,2021,M03,2021 Mar,1837865
LAUCT064400000000005,2021,M04,2021 Apr,1842811
LAUCT064400000000005,2021,M05,2021 May,1858468
LAUCT064400000000005,2021,M06,2021 Jun,1846308
LAUCT064400000000005,2021,M07,2021 Jul,1870514
LAUCT064400000000005,2021,M08,2021 Aug,1865222
LAUCT064400000000005,2021,M09,2021 Sep,1897447
LAUCT064400000000005,2021,M10,2021 Oct,1908962
LAUCT064400000000005,2021,M11,2021 Nov,1939296
LAUCT064400000000005,2021,M12,2021 Dec,1931543
LAUCT064400000000005,2022,M01,2022 Jan,1933973
LAUCT064400000000005,2022,M02,2022 Feb,1960744
LAUCT064400000000005,2022,M03,2022 Mar,1968043
LAUCT064400000000005,2022,M04,2022 Apr,1956224
LAUCT064400000000005,2022,M05,2022 May,1956882
LAUCT064400000000005,2022,M06,2022 Jun,1928729
LAUCT064400000000005,2022,M07,2022 Jul,1937509
LAUCT064400000000005,2022,M08,2022 Aug,1929746
LAUCT064400000000005,2022,M09,2022 Sep,1949162
LAUCT064400000000005,2022,M10,2022 Oct,1940558
LAUCT064400000000005,2022,M11,2022 Nov,1955582
LAUCT064400000000005,2022,M12,2022 Dec,1950204
LAUCT064400000000005,2023,M01,2023 Jan,1945850
LAUCT064400000000005,2023,M02,2023 Feb,1962922
LAUCT064400000000005,2023,M03,2023 Mar,1964832
LAUCT064400000000005,2023,M04,2023 Apr,1957627
LAUCT064400000000005,2023,M05,2023 May,1942550
LAUCT064400000000005,2023,M06,2023 Jun,1954978
LAUCT064400000000005,2023,M07,2023 Jul,1945475
LAUCT064400000000005,2023,M08,2023 Aug,1935931
