Series ID,Year,Period,Label,Value
LAUCT064400000000004,2020,M01,2020 Jan,106115
LAUCT064400000000004,2020,M02,2020 Feb,105913
LAUCT064400000000004,2020,M03,2020 Mar,138438
LAUCT064400000000004,2020,M04,2020 Apr,337923
LAUCT064400000000004,2020,M05,2020 May,368805
LAUCT064400000000004,2020,M06,2020 Jun,365929
LAUCT064400000000004,2020,M07,2020 Jul,391102
LAUCT064400000000004,2020,M08,2020 Aug,355706
LAUCT064400000000004,2020,M09,2020 Sep,225671
LAUCT064400000000004,2020,M10,2020 Oct,204676
LAUCT064400000000004,2020,M11,2020 Nov,205331
LAUCT064400000000004,2020,M12,2020 Dec,212179
LAUCT064400000000004,2021,M01,2021 Jan,215945
LAUCT064400000000004,2021,M02,2021 Feb,207587
LAUCT064400000000004,2021,M03,2021 Mar,206387
LAUCT064400000000004,2021,M04,2021 Apr,208173
LAUCT064400000000004,2021,M05,2021 May,192370
LAUCT064400000000004,2021,M06,2021 Jun,203209
LAUCT064400000000004,2021,M07,2021 Jul,196814
LAUCT064400000000004,2021,M08,2021 Aug,183540
LAUCT064400000000004,2021,M09,2021 Sep,159248
LAUCT064400000000004,2021,M10,2021 Oct,150277
LAUCT064400000000004,2021,M11,2021 Nov,134437
LAUCT064400000000004,2021,M12,2021 Dec,124918
LAUCT064400000000004,2022,M01,2022 Jan,137890
LAUCT064400000000004,2022,M02,2022 Feb,122144
LAUCT064400000000004,2022,M03,2022 Mar,109058
LAUCT064400000000004,2022,M04,2022 Apr,100511
LAUCT064400000000004,2022,M05,2022 May,93653
LAUCT064400000000004,2022,M06,2022 Jun,99957
LAUCT064400000000004,2022,M07,2022 Jul,100883
LAUCT064400000000004,2022,M08,2022 Aug,96566
LAUCT064400000000004,2022,M09,2022 Sep,89784
LAUCT064400000000004,2022,M10,2022 Oct,94216
LAUCT064400000000004,2022,M11,2022 Nov,94574
LAUCT064400000000004,2022,M12,2022 Dec,91979
LAUCT064400000000004,2023,M01,2023 Jan,103409
LAUCT064400000000004,2023,M02,2023 Feb,110821
LAUCT064400000000004,2023,M03,2023 Mar,105638
LAUCT064400000000004,2023,M04,2023 Apr,95289
LAUCT064400000000004,2023,M05,2023 May,102984
LAUCT064400000000004,2023,M06,2023 Jun,114603
LAUCT064400000000004,2023,M07,2023 Jul,117682
LAUCT064400000000004,2023,M08,2023 Aug,126896
